### Protein	3DFI name	plDDT score	AlphaFold ranked name	AlphaFold unranked name
ECU01_0230	ECU01_0230-m1.pdb	80.4993709346586	ranked_0.pdb	unrelaxed_model_5.pdb
ECU01_0230	ECU01_0230-m2.pdb	77.20215714589838	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0230	ECU01_0230-m3.pdb	77.1901036001636	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0230	ECU01_0230-m4.pdb	76.7922798706691	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0230	ECU01_0230-m5.pdb	74.70819703124339	ranked_4.pdb	unrelaxed_model_4.pdb
ECU01_0240	ECU01_0240-m1.pdb	96.82945994110699	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0240	ECU01_0240-m2.pdb	96.72099678120476	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0240	ECU01_0240-m3.pdb	96.68896117878623	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0240	ECU01_0240-m4.pdb	96.51868263897687	ranked_3.pdb	unrelaxed_model_1.pdb
ECU01_0240	ECU01_0240-m5.pdb	96.22129055559954	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0250	ECU01_0250-m1.pdb	90.57085507877838	ranked_0.pdb	unrelaxed_model_2.pdb
ECU01_0250	ECU01_0250-m2.pdb	89.8699749825542	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0250	ECU01_0250-m3.pdb	88.8647603587118	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0250	ECU01_0250-m4.pdb	88.19545765453627	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0250	ECU01_0250-m5.pdb	85.75330172684963	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0260	ECU01_0260-m1.pdb	85.03921962385716	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0260	ECU01_0260-m2.pdb	82.16401251013308	ranked_1.pdb	unrelaxed_model_5.pdb
ECU01_0260	ECU01_0260-m3.pdb	81.96104249901364	ranked_2.pdb	unrelaxed_model_3.pdb
ECU01_0260	ECU01_0260-m4.pdb	81.62296422033286	ranked_3.pdb	unrelaxed_model_2.pdb
ECU01_0260	ECU01_0260-m5.pdb	81.29710394296033	ranked_4.pdb	unrelaxed_model_4.pdb
ECU01_0280	ECU01_0280-m1.pdb	45.91462956238966	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0280	ECU01_0280-m2.pdb	43.26237437244293	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0280	ECU01_0280-m3.pdb	39.064478592218485	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0280	ECU01_0280-m4.pdb	36.34195015883201	ranked_3.pdb	unrelaxed_model_4.pdb
ECU01_0280	ECU01_0280-m5.pdb	36.060719993918056	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0290	ECU01_0290-m1.pdb	86.33491844868715	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0290	ECU01_0290-m2.pdb	85.96349938747991	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0290	ECU01_0290-m3.pdb	85.5506818965926	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0290	ECU01_0290-m4.pdb	85.19071400787695	ranked_3.pdb	unrelaxed_model_2.pdb
ECU01_0290	ECU01_0290-m5.pdb	83.52219961425132	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0295	ECU01_0295-m1.pdb	88.18899499942158	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0295	ECU01_0295-m2.pdb	77.71621508087829	ranked_1.pdb	unrelaxed_model_5.pdb
ECU01_0295	ECU01_0295-m3.pdb	74.59397803630318	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0295	ECU01_0295-m4.pdb	72.78291847368315	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0295	ECU01_0295-m5.pdb	69.0494660090714	ranked_4.pdb	unrelaxed_model_2.pdb
ECU01_0310	ECU01_0310-m1.pdb	93.71168673801512	ranked_0.pdb	unrelaxed_model_2.pdb
ECU01_0310	ECU01_0310-m2.pdb	93.07996121029288	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0310	ECU01_0310-m3.pdb	86.38821310251024	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0310	ECU01_0310-m4.pdb	85.75378114076416	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0310	ECU01_0310-m5.pdb	82.01220854991753	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0320	ECU01_0320-m1.pdb	67.23013368528623	ranked_0.pdb	unrelaxed_model_4.pdb
ECU01_0320	ECU01_0320-m2.pdb	66.276596556431	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0320	ECU01_0320-m3.pdb	65.58282483245245	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0320	ECU01_0320-m4.pdb	65.534610514393	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0320	ECU01_0320-m5.pdb	65.19062012523385	ranked_4.pdb	unrelaxed_model_2.pdb
ECU01_0330	ECU01_0330-m1.pdb	78.59542040400046	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0330	ECU01_0330-m2.pdb	77.78341582340643	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0330	ECU01_0330-m3.pdb	76.69861717959502	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0330	ECU01_0330-m4.pdb	76.05731050612036	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0330	ECU01_0330-m5.pdb	75.67562806996783	ranked_4.pdb	unrelaxed_model_3.pdb
ECU01_0340	ECU01_0340-m1.pdb	92.96253938459196	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0340	ECU01_0340-m2.pdb	92.05187601339422	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0340	ECU01_0340-m3.pdb	91.80189922790376	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0340	ECU01_0340-m4.pdb	91.79283373153821	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0340	ECU01_0340-m5.pdb	91.7707740025996	ranked_4.pdb	unrelaxed_model_2.pdb
